,Date,User,Tweet
0,2015-02-09 18:00:08+00:00,MsPutOptions,$AMCX $ICLR
1,2014-09-25 12:14:42+00:00,paidicreed,@IgorCarron AISTATS/ICLR.
2,2014-07-20 22:24:58+00:00,efemerris,TBKDE SGRA BLE İÇLR SZİ GNDRMŞLR PCLR .S
3,2014-06-15 12:07:30+00:00,Pekermerih,@Sabo1905 ÜLKEYİ YÖNETN ÇAĞDAŞ MÜSLÜMN LAR ONUR VE ŞEREF KATMIŞTIR ÜLKEYE.I2 YILDIR MUHAFAZAKAR MÜSLÜMANIN YÖNETTİĞİ ÜLKENİN İÇLR ACISI HALİ
4,2014-04-19 23:41:16+00:00,ayirpelle,"via @siah, http://t.co/QINMEdQ6dH , ICLR 2014 videos"
5,2014-02-08 20:04:54+00:00,spiltbIood,@Michael5SOS YOYRS ICLR
6,2013-12-25 15:44:48+00:00,dayancu,"Yeni Bakanlar
E.Ala İçlr
N.Kurtulmuş Ekm
Mustafa Şentop Adlt
İsmet Yılmaz Ulştr
Ömer Çelik AB
Mahir Ünal KltrTrzm
Alpaslan Kavaklıoğlu M.Sav"
7,2013-11-23 20:06:27+00:00,myself86eh,"İçlr acısı oln ne biliymsnz?AKP ilçe başknlrnn çocklrı hp dersnye gidiylr(malum dersane)
İnşallah kaptlmz dyrlr
#DershaneHakkıGelecekHakkı"
8,2013-09-28 00:45:33+00:00,kkutsalspagetti,BU SAATTE HLA MANTKLI TVİT PAYLSANLR VR İCLR ACSI:s
9,2013-04-22 21:26:04+00:00,Bieberturkeyyz,@BuseSacli_ @MyAngelCS1DJB ARADA BEN KAYNIYOM LAN BANA ACIYIN ORTAOKULA GDYRM ARKDŞLR ÇK İÇLR ACISI DURMM VR SBS MAGDRYM ACYN BNA PLS:( asfg
10,2013-01-25 14:52:38+00:00,SUNADUMANKAYASD,ÖKSÜRÜGE KARŞI ÇAY15 GR MEYAN KÖKÜ10 GR GÜL HATMİ ÇİÇEĞİ1 ÇUBUK TARÇIN YAPILIŞI MALZEMELER 1/2 LTSUDA 5 DK KAYNATILIP 10 DK DEMLENİR VE İÇLR
11,2012-12-27 21:14:42+00:00,oztrkkazra,Otomasynda önemli drs notlarmın toplamı 70 yapmıyo. İçlr acısı :(
